date,price,vol
2019-11-01 13:05:00,978894.0,3266506429095.75
2019-11-01 13:10:00,979216.0,3270382042969.33
2019-11-01 13:15:00,979247.0,3213521513993.44
2019-11-01 13:20:00,980425.0,3277633208515.8
2019-11-01 13:25:00,981437.0,3291406555765.49
2019-11-01 13:30:00,980656.0,3289302962305.52
2019-11-01 13:35:00,980649.0,3278181821577.56
2019-11-01 13:40:00,981936.0,3302195992936.49
2019-11-01 13:45:00,982725.0,3306908240502.5
2019-11-01 13:50:00,984047.0,3310585863705.22
2019-11-01 13:55:00,981674.0,3313334832448.26
2019-11-01 14:00:00,981580.0,3238184227992.23
2019-11-01 14:05:00,981676.0,3229892440520.01
2019-11-01 14:10:00,984430.0,3312262547730.51
2019-11-01 14:15:00,983325.0,3232859449563.17
2019-11-01 14:20:00,983077.0,3291040085101.79
2019-11-01 14:25:00,983383.0,3222277248089.9
2019-11-01 14:30:00,984580.0,3333880618232.3
2019-11-01 14:35:00,983989.0,3298036668521.55
2019-11-01 14:40:00,982720.0,3251367669435.97
2019-11-01 14:45:00,982351.0,3024758677036.85
2019-11-01 14:50:00,983277.0,3277008561516.28
2019-11-01 14:55:00,982555.0,3235156922672.54
2019-11-01 15:00:00,981378.0,3306972595452.03
2019-11-01 15:05:00,981177.0,3283699600670.39
2019-11-01 15:10:00,981132.0,3278781239500.16
2019-11-01 15:15:00,981375.0,3251627118205.24
2019-11-01 15:20:00,984244.0,3294954938098.95
2019-11-01 15:25:00,983799.0,3292568642845.21
2019-11-01 15:30:00,983172.0,3289129950744.0
2019-11-01 15:35:00,983991.0,3290433562008.41
2019-11-01 15:40:00,983904.0,3216218005977.26
2019-11-01 15:45:00,985186.0,3292518064024.16
2019-11-01 15:50:00,985924.0,3295173876696.13
2019-11-01 15:55:00,984877.0,3295451079426.05
2019-11-01 16:00:00,985670.0,3300804764258.98
2019-11-01 16:05:00,985959.0,3292893410843.56
2019-11-01 16:10:00,985452.0,3293031824717.76
2019-11-01 16:15:00,984524.0,3292468310278.95
2019-11-01 16:20:00,984175.0,3292231821404.98
2019-11-01 16:25:00,984544.0,3296656189558.57
2019-11-01 16:30:00,983498.0,3295620784444.56
2019-11-01 16:35:00,982547.0,3297545781029.28
2019-11-01 16:40:00,983967.0,3284976739364.02
2019-11-01 16:45:00,982582.0,3279740188210.94
2019-11-01 16:50:00,982437.0,3282775727366.0
2019-11-01 16:55:00,982230.0,3255313467067.23
2019-11-01 17:00:00,983328.0,3265889915223.87
2019-11-01 17:05:00,983474.0,3266806266090.4
2019-11-01 17:10:00,986103.0,3328536556305.21
2019-11-01 17:15:00,985816.0,3330625271466.37
2019-11-01 17:20:00,990162.0,3358382832010.02
2019-11-01 17:25:00,987062.0,3358162101247.43
2019-11-01 17:30:00,986263.0,3341657942312.0
2019-11-01 17:35:00,986427.0,3358694559934.83
2019-11-01 17:40:00,986287.0,4151583315972.05
2019-11-01 17:45:00,986051.0,4153985866371.21
2019-11-01 17:50:00,985707.0,4159509825109.29
2019-11-01 17:55:00,986652.0,4167168233512.24
2019-11-01 18:00:00,988437.0,4180951905383.34
2019-11-01 18:05:00,988223.0,4181351639074.17
2019-11-01 18:10:00,985519.0,4158604941524.02
2019-11-01 18:15:00,986729.0,4162876120016.44
2019-11-01 18:20:00,985426.0,4163541793609.55
2019-11-01 18:25:00,983428.0,4154109951451.16
2019-11-01 18:30:00,985488.0,4167819404558.74
2019-11-01 18:35:00,985134.0,4164766144639.13
2019-11-01 18:40:00,983977.0,4160436686884.87
2019-11-01 18:45:00,985112.0,4113378634204.67
2019-11-01 18:50:00,985323.0,4145554135945.59
2019-11-01 18:55:00,984956.0,4107144686248.85
2019-11-01 19:00:00,984631.0,4134769207218.49
2019-11-01 19:05:00,984711.0,4135977770837.86
2019-11-01 19:10:00,986922.0,4114013199848.16
2019-11-01 19:15:00,986498.0,4111418451256.94
2019-11-01 19:20:00,985489.0,4109156223991.02
2019-11-01 19:25:00,987456.0,4114546517802.94
2019-11-01 19:30:00,988057.0,4115712727372.57
2019-11-01 19:35:00,989061.0,4123076214894.78
2019-11-01 19:40:00,987935.0,4090398905295.21
2019-11-01 19:45:00,987955.0,4090491991083.95
2019-11-01 19:50:00,987925.0,4118995550245.97
2019-11-01 19:55:00,988518.0,4123751882727.82
2019-11-01 20:00:00,990452.0,4137602260057.36
2019-11-01 20:05:00,990838.0,4139280038960.86
2019-11-01 20:10:00,993088.0,4141774494165.06
2019-11-01 20:15:00,996163.0,4165466999511.95
2019-11-01 20:20:00,997292.0,4182541655203.52
2019-11-01 20:25:00,999426.0,4211010293109.35
2019-11-01 20:30:00,998047.0,4195376944093.48
2019-11-01 20:35:00,998198.0,4207844515361.28
2019-11-01 20:40:00,993454.0,4197792766557.57
2019-11-01 20:45:00,991354.0,4204162067242.19
2019-11-01 20:50:00,990048.0,4202908629206.67
